7, 2584, 33895, 7810.276190, 58.41%, 0.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
8, 2584, 33895, 8267.273611, 61.25%, 0.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
9, 2584, 33895, 8615.829630, 64.32%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
10, 2584, 36359, 8961.453333, 66.33%, 0.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
11, 2584, 36201, 11408.633333, 83.33%, 2.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
12, 2584, 36201, 11885.816667, 83.89%, 1.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
13, 4181, 56266, 11795.018519, 82.96%, 1.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
14, 4181, 56266, 11706.791667, 82.50%, 1.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
15, 4181, 56266, 11792.226667, 82.22%, 1.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
16, 4181, 56266, 11974.374074, 83.33%, 1.48%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
17, 4181, 56266, 12390.661905, 84.44%, 1.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
18, 4181, 56266, 12770.116667, 85.00%, 1.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
19, 4181, 56266, 12980.093827, 84.94%, 1.98%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
20, 4181, 56266, 13051.195556, 84.89%, 2.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
21, 2584, 33529, 13794.211111, 86.67%, 3.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 377, 4728, 4018.666667, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 377, 4728, 2131.500000, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 610, 7799, 3417.111111, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 610, 7799, 3176.750000, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 610, 8268, 3279.600000, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 610, 8268, 3322.388889, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 610, 8268, 3381.047619, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 610, 8268, 3342.666667, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 610, 8268, 3158.185185, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 610, 8496, 3398.100000, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 9974, 3675.939394, 18.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 9974, 3888.750000, 19.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 9974, 3856.666667, 20.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4199.690476, 23.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4103.488889, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4145.416667, 22.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4165.607843, 23.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4198.833333, 24.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4141.157895, 22.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4244.533333, 23.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4240.238095, 23.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4330.151515, 25.76%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 12867, 4521.101449, 28.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4655.333333, 29.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4682.173333, 29.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4685.115385, 29.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4704.876543, 29.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4714.666667, 29.76%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4833.091954, 31.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4912.500000, 31.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4879.064516, 30.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4876.854167, 30.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4935.767677, 30.30%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4937.401961, 30.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4903.323810, 29.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4887.268519, 28.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 5001.927928, 29.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 5002.166667, 29.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 5013.487179, 29.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 4984.408333, 29.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 5050.105691, 30.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 5058.214286, 30.95%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 5025.604651, 30.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13761, 5001.318182, 30.30%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5193.037037, 31.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5192.463768, 31.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5178.092199, 31.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5258.715278, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5255.517007, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5221.180000, 32.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5288.823529, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5389.294872, 34.62%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5408.396226, 35.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5400.339506, 35.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5435.375758, 36.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5482.636905, 36.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5450.192982, 36.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5477.028736, 36.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5469.542373, 36.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5487.650000, 37.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5524.786885, 38.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5561.494624, 38.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5594.137566, 39.68%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5600.750000, 39.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5629.723077, 40.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5673.681818, 41.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5684.532338, 41.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5725.686275, 42.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5713.396135, 42.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5763.895238, 42.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5805.089202, 42.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5811.023148, 43.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5776.808219, 42.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5828.621622, 42.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5799.697778, 42.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5769.877193, 42.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5764.090909, 41.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5774.465812, 42.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1597, 21794, 5772.540084, 42.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
